id,alias_group_id,alias_text,is_canonical
8e4a166a-b63f-4b81-8c11-819d88c05735,cca5ab25-2d2b-470d-82e6-30b61329d316,Micro Labs Limited,false
8282a31a-d280-42f1-8c2e-87f847422db8,cca5ab25-2d2b-470d-82e6-30b61329d316,M/s Micro Labs Ltd.,false
0193ec2b-262b-465c-b370-168e04317267,cca5ab25-2d2b-470d-82e6-30b61329d316,Micro Labs Ltd,false
66e800db-4506-4c6d-99d4-e1d5293996be,cca5ab25-2d2b-470d-82e6-30b61329d316,माइक्रो लैब्स लिमिटेड,false
5187fbc8-ec7d-4afb-87cf-e9ae3585ede7,cca5ab25-2d2b-470d-82e6-30b61329d316,micro labs ltd.,false
71c3c5b2-a84b-44a6-9539-83acb136684f,cca5ab25-2d2b-470d-82e6-30b61329d316,Micro Labs Ltd.,true
6fb60994-5354-4b1d-99f0-431da4f2fa86,cca5ab25-2d2b-470d-82e6-30b61329d316,MICRO LABS LTD,false
9c8299a9-cf84-4bc7-b8d4-d0ba111aab57,cca5ab25-2d2b-470d-82e6-30b61329d316,Micro Labs,false
c0be1eef-2be4-43f0-974c-12aec6d896d0,1090101c-4e71-4110-ac55-639c9f163565,M/s GlaxoSmithKline Pharmaceuticals Ltd.,false
fe1e9f5f-49c6-4679-a6a6-f88a6a195af3,1090101c-4e71-4110-ac55-639c9f163565,GlaxoSmithKline Pharmaceuticals Ltd,false
1ae11a05-31eb-4106-ba0f-b97bd38f2214,1090101c-4e71-4110-ac55-639c9f163565,GLAXOSMITHKLINE PHARMACEUTICALS LTD,false
cd8a29e5-9819-41e4-959a-8fa32d3df4bb,1090101c-4e71-4110-ac55-639c9f163565,GlaxoSmithKline Pharmaceuticals Limited,false
88ec8fa7-ce31-4f7c-81fa-142658a926d6,1090101c-4e71-4110-ac55-639c9f163565,glaxosmithkline pharmaceuticals ltd.,false
8def5383-d0bc-48fa-a322-a5f417662c07,1090101c-4e71-4110-ac55-639c9f163565,GlaxoSmithKline Pharmaceuticals,false
5157ecb6-09b7-4afa-a248-5ad5021b2251,1090101c-4e71-4110-ac55-639c9f163565,GlaxoSmithKline Pharmaceuticals Ltd.,true
f51b3286-3d08-4e51-9328-b6b89815eda9,df67d6c5-2638-454d-b429-fdb7e4ea662b,Cipla Ltd.,true
37825d08-6376-4b42-b0a1-e33d74435e92,df67d6c5-2638-454d-b429-fdb7e4ea662b,M/s Cipla Ltd.,false
88b420a7-b00b-48cb-83b6-2d84c9bc4769,df67d6c5-2638-454d-b429-fdb7e4ea662b,cipla ltd.,false
86952d8d-f83e-4231-a5d6-793abc94db9c,df67d6c5-2638-454d-b429-fdb7e4ea662b,Cipla,false
6357b975-19ce-490f-a386-e2934af2e3b8,df67d6c5-2638-454d-b429-fdb7e4ea662b,CIPLA LTD,false
104f1754-d452-49e7-9a71-6841f71a60e4,df67d6c5-2638-454d-b429-fdb7e4ea662b,Cipla Ltd,false
e5bf925f-b88b-4a54-8c35-9678d7f76dec,df67d6c5-2638-454d-b429-fdb7e4ea662b,सिप्ला लिमिटेड,false
bc5e9713-ea4b-4abb-80e0-350b8d58e496,df67d6c5-2638-454d-b429-fdb7e4ea662b,Cipla Limited,false
8ca2a55a-7f50-49fa-9b75-431d7306bd0a,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,Alembic Pharmaceuticals Limited,false
30d672ad-b8e1-4bda-afc0-a392a3afaf79,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,Alembic Pharmaceuticals,false
2771be30-2598-4f32-b8cb-5fe366c5ca17,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,Alembic Pharmaceuticals Ltd,false
6db34183-094a-45c5-8c64-58341012659e,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,Alembic Pharmaceuticals Ltd.,true
8881f18d-5e5c-451d-9029-1f398546ec2b,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,M/s Alembic Pharmaceuticals Ltd.,false
ef91919f-0866-4b5b-b830-6d1234c6eb7b,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,alembic pharmaceuticals ltd.,false
eff614c5-e8ab-4b76-81f4-347d49c26de2,9e432bc2-e1d4-49dd-8e4f-f7a9ce132a71,ALEMBIC PHARMACEUTICALS LTD,false
ba01b192-27ea-426e-adfe-0faff7d1381c,561e419f-26df-44e7-9088-99098624c126,MANKIND PHARMA LTD,false
365715d2-6eb5-4aeb-8769-5a82647fc100,561e419f-26df-44e7-9088-99098624c126,Mankind Pharma,false
1107244d-7aa0-4d91-b028-31225370704b,561e419f-26df-44e7-9088-99098624c126,मैनकाइंड फार्मा लिमिटेड,false
0dda68b5-1c33-4b84-a27d-b3d3dafecfb7,561e419f-26df-44e7-9088-99098624c126,Mankind Pharma Ltd,false
23ddbb0f-8a21-4c20-abc6-e1f156e53eac,561e419f-26df-44e7-9088-99098624c126,Mankind Pharma Ltd.,true
7307a5e9-55b0-4064-8099-ad2e3207d08e,561e419f-26df-44e7-9088-99098624c126,Mankind Pharma Limited,false
e98241a2-b16f-4c1d-ae70-3a36b198d8b5,561e419f-26df-44e7-9088-99098624c126,M/s Mankind Pharma Ltd.,false
62f982e7-d528-4a2d-8303-8ff90283c047,561e419f-26df-44e7-9088-99098624c126,mankind pharma ltd.,false
75aec873-d918-49f1-8e9f-ac4736ff7c90,250bd61a-1633-44d4-8aa7-b033fbe874f6,Sun Pharmaceutical Industries Ltd,false
59b1ae3c-a59e-4f0b-8588-bd07a6680986,250bd61a-1633-44d4-8aa7-b033fbe874f6,सन फार्मास्युटिकल इंडस्ट्रीज़ लिमिटेड,false
ea45b196-c1e1-42ab-9d11-d9a9f7e67505,250bd61a-1633-44d4-8aa7-b033fbe874f6,Sun Pharmaceutical Industries Limited,false
a925214d-aba8-4533-9cd3-51c8c9d8c05c,250bd61a-1633-44d4-8aa7-b033fbe874f6,Sun Pharmaceutical Industries,false
469e738c-8442-4b98-b72d-0c689460f907,250bd61a-1633-44d4-8aa7-b033fbe874f6,SUN PHARMACEUTICAL INDUSTRIES LTD,false
2d1eb582-8bf2-4c02-8eb6-99512dc0d00e,250bd61a-1633-44d4-8aa7-b033fbe874f6,M/s Sun Pharmaceutical Industries Ltd.,false
05e4c831-41e4-42c3-83de-d09d47764a02,250bd61a-1633-44d4-8aa7-b033fbe874f6,sun pharmaceutical industries ltd.,false
1f8d86e2-ed6b-4bce-8883-079540698308,250bd61a-1633-44d4-8aa7-b033fbe874f6,Sun Pharmaceutical Industries Ltd.,true
6f42cb45-26d5-418e-8fbe-5ac937ea41a3,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,Alkem Laboratories,false
fa755ec8-ff6a-4a90-b530-1f1248ca7fb2,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,एल्केम लेबोरेटरीज़ लिमिटेड,false
397259a2-7a4e-4316-97b8-12cc12d28bcc,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,Alkem Laboratories Limited,false
b5ae49e5-0e09-4bb9-93c6-6177ab291d22,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,Alkem Laboratories Ltd,false
eff59ec9-4c0e-407d-b82a-cc08de019dc7,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,Alkem Laboratories Ltd.,true
bd06d805-6d87-42b8-a89c-a63c145b7768,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,alkem laboratories ltd.,false
f4b9e461-ec47-4a94-8e38-9bfeac71011b,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,ALKEM LABORATORIES LTD,false
22c4278a-e050-4575-99a0-a4ee6ae195e3,2ccdd6a4-340f-475d-9a95-cdbae4d8a558,M/s Alkem Laboratories Ltd.,false
825f96c1-1f7d-4eed-be59-2f5c44a6c324,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,USV Pvt Ltd,false
ade58aa7-fe81-4706-affd-9a6b926ea7ce,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,USV,false
032c5783-10c1-43fe-82f5-397451ecd6c7,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,M/s USV Pvt. Ltd.,false
daf99dea-e08d-4b79-a766-1be22d22f6b2,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,usv pvt. ltd.,false
ade36e04-2427-4653-94b2-c64e94c949f4,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,USV Pvt. Limited,false
c4f8db88-691b-4eb6-b5e5-f555a1148642,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,USV PVT LTD,false
e2dce6a2-6eb3-48da-856a-55b699e9860d,6ac1f6be-9a1e-4b53-93e7-03279f20b30c,USV Pvt. Ltd.,true
adb299a9-2621-49e4-87c7-07ef6bedb561,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,Glenmark Pharmaceuticals Limited,false
61e236f3-5c09-4748-8e69-81921f4ebe6b,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,Glenmark Pharmaceuticals Ltd,false
56dadd8b-ca90-4dd5-86e8-b272a0c3c88f,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,Glenmark Pharmaceuticals Ltd.,true
eb6ef0ce-b400-427a-a8bf-fb503051e79e,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,Glenmark Pharmaceuticals,false
b522d45e-9d2c-4bdf-a3ad-568a851968a4,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,M/s Glenmark Pharmaceuticals Ltd.,false
8f7782f5-0c2a-4cab-9455-d19603a34d7c,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,glenmark pharmaceuticals ltd.,false
b209212e-d84e-40a4-9ac9-fd146d15a4f4,f3b10dbd-dc3a-4f40-a4cc-4fa0a180b9ca,GLENMARK PHARMACEUTICALS LTD,false
