id,hashed_serial_id,product_code,batch_number,approx_location,scanned_at,source,risk_level,risk_reasons
2ea9f105-dd00-4d41-82e2-b7b20fff04dc,4ff3b53569dbc012ec9e3b0f112203e0,8903443533184,AX2291,"560034 (Bengaluru Urban, Karnataka)",2026-09-12T09:03:56,whatsapp,red,{nsq_status_fail}
decc13ac-b115-4ec9-beaf-0231ae542c5d,5143e2554915b10b1e569b6e73452836,8903443533184,AX2291,"400072 (Mumbai Suburban, Maharashtra)",2025-11-19T17:18:34,whatsapp,red,{nsq_status_fail}
d5a6ab60-bfa0-46b3-a679-a1ba2ab96f71,9ac4d01025305d629d3891a122452b68,8903443533184,AX2291,"600001 (Chennai, Tamil Nadu)",2026-07-22T09:56:36,whatsapp,red,{nsq_status_fail}
c9985710-ebd4-4696-a314-351595a8f107,919e3d98dab98c30cb25ff9b6b21ea47,8903443533184,AX2291,"700001 (Kolkata, West Bengal)",2025-07-24T21:41:47,web,red,{nsq_status_fail}
ecd02e9e-559e-4f5a-a543-1a1519ac7227,14b967bb365323088b6d36413093b64c,8903443533184,AX2291,"560066 (Bengaluru Urban, Karnataka)",2026-01-29T15:19:07,whatsapp,red,{nsq_status_fail}
586d7b09-4d12-4dd7-af78-7d8f30154f41,f0338eee7100e60b37654e4dc2fe4d30,8903443533184,AX2291,"590001 (Belagavi, Karnataka)",2026-06-03T01:16:59,whatsapp,red,{nsq_status_fail}
d7c086f5-517d-4d2b-89b0-e3bc3ae485de,40a64f857dc07afeb2f3e3ef9b12cd8a,8903443533184,AX2291,"800001 (Patna, Bihar)",2026-08-16T15:05:39,web,red,{nsq_status_fail}
abd8c4bb-ba83-485d-bca3-70e08a93b007,755d2c9f34d4b076f1cf006e11063bb0,8903443533184,AX2291,"800001 (Patna, Bihar)",2026-04-04T17:50:29,whatsapp,red,{nsq_status_fail}
e72e8a59-1bbf-4d87-807a-53921ea479cf,c140054f4d19bbacbb77b7c7beb611b0,8903443533184,AX2291,"500001 (Hyderabad, Telangana)",2026-03-17T10:29:37,whatsapp,red,{nsq_status_fail}
cd9da78a-5183-4fbe-a0ef-4d14e8836c6f,7ca8f3c960e95600c82660fd30eed9a5,8903443533184,AX2291,"682001 (Ernakulam, Kerala)",2025-06-09T19:40:16,whatsapp,red,{nsq_status_fail}
1bd5a11a-23d0-40a2-ac17-97cc569da85a,d1ad3933a89e6df0ee26f3d056409efb,8903443533184,AX2291,"390001 (Vadodara, Gujarat)",2026-09-10T12:49:27,whatsapp,red,{nsq_status_fail}
0fe00536-491d-4db8-9094-85f3e855551d,24a3855650b29d8a3ffec3ef1f897a83,8903443533184,AX2291,"682001 (Ernakulam, Kerala)",2025-04-13T08:34:57,whatsapp,red,{nsq_status_fail}
a34bf7a2-80c9-481f-9155-01fb4217a347,d12fa71d4e24d1ad6ac3caa66d748319,8903443533184,AX2291,"411001 (Pune, Maharashtra)",2025-08-29T06:58:21,whatsapp,red,{nsq_status_fail}
86dba305-e883-4903-9c72-e5d298ae1ca7,777c7754fdb8f39f7cb1242a82f6c18e,8903443533184,AX2291,"580001 (Dharwad, Karnataka)",2025-12-27T13:35:22,whatsapp,red,{nsq_status_fail}
bfa732ca-5b1a-43b7-a357-7f6c66e92b7f,3f548df849e2b9e463f4971edafe40bc,8903443533184,AX2291,"695001 (Thiruvananthapuram, Kerala)",2025-08-23T10:23:57,whatsapp,red,{nsq_status_fail}
5629c753-b88d-4d52-ab83-f0c06caa0987,9c71551a3dfdbca25522ebb6dd674280,8903443533184,AX2291,"600028 (Chennai, Tamil Nadu)",2025-03-31T11:34:56,web,red,{nsq_status_fail}
9844439c-33ff-4ebb-8192-6af15eba53e2,d444508e58da56993f2969f5be806a91,8903443533184,AX2291,"530001 (Visakhapatnam, Andhra Pradesh)",2026-01-03T12:21:01,whatsapp,red,{nsq_status_fail}
fd42cd73-3617-4d51-953c-d99a77a8e791,533883769f9c8b544d0d33c6c470f453,8903443533184,AX2291,"390001 (Vadodara, Gujarat)",2025-05-19T14:29:54,whatsapp,red,{nsq_status_fail}
1228731d-9d3d-4f93-9f82-3b87e0e5b8ba,c31b9af6e81af8ebc486be7553f34f64,8903443533184,AX2291,"575001 (Mangaluru (Dakshina Kannada), Karnataka)",2026-06-17T12:27:23,whatsapp,red,{nsq_status_fail}
6530d602-c7f2-47b7-9210-2528bcd0fcfe,12559558d24241b38f2908abf64f4ce9,8903443533184,AX2291,"400001 (Mumbai City, Maharashtra)",2025-10-11T13:53:56,whatsapp,red,{nsq_status_fail}
c14798ca-592b-4b2d-ace3-5f962ff4d1f4,ff206fdf42f7a2135f58b37383cc5491,8903443533184,AX2291,"600028 (Chennai, Tamil Nadu)",2026-05-31T20:32:06,web,red,{nsq_status_fail}
c719403b-4d4f-415c-9f62-432868d65c21,156066ea1e53e31aabb09326cf9e2e0a,8903443533184,AX2291,"440001 (Nagpur, Maharashtra)",2026-08-27T05:22:10,whatsapp,red,{nsq_status_fail}
197c8331-c0f2-40af-9805-1d53b3c8ab8f,fe755e405d1a338a3b91085e79dd3b35,8903443533184,AX2291,"440001 (Nagpur, Maharashtra)",2025-10-18T07:06:37,whatsapp,red,{nsq_status_fail}
4b4cdeb1-0e0e-45fa-80d5-19d172b541e9,90aeaef51a721251c1aa0ae8edf4dd1f,8903443533184,AX2291,"560034 (Bengaluru Urban, Karnataka)",2025-06-29T11:49:28,whatsapp,red,{nsq_status_fail}
1b603455-ca4a-4564-b91a-9f6846eec9ff,dae7696bcb7cd151f758758c4d197c26,8903443533184,AX2291,"800001 (Patna, Bihar)",2025-05-05T07:54:37,web,red,{nsq_status_fail}
c6cac7b8-915d-40d8-9bf9-0a09716f1721,8bf74200d68843c87fb47b457084ea78,8903443533184,AX2291,"500001 (Hyderabad, Telangana)",2025-11-11T15:03:53,whatsapp,red,{nsq_status_fail}
1be3e6b8-b1f8-4bab-93bb-484f61c66dde,1ae7542a564d66246afbadbe901b06a6,8903443533184,AX2291,"530001 (Visakhapatnam, Andhra Pradesh)",2026-03-10T15:26:28,web,red,{nsq_status_fail}
fbf109f9-b033-45bf-b6ee-eccf8b9ff4bc,dca10f4a7b4e0057eb1e3482ad688fef,8903443533184,AX2291,"110019 (North West Delhi, Delhi)",2026-05-12T13:26:20,web,red,{nsq_status_fail}
0d2bd6ef-64b4-47d8-8ae0-95acdc563283,d9e2fa774b40239761ea0e446852a631,8903443533184,AX2291,"560001 (Bengaluru Urban, Karnataka)",2025-11-23T11:49:57,whatsapp,red,{nsq_status_fail}
4e83f573-2506-4622-a1a0-304af648cd60,95f71ba8b036653864270556fd88fd12,8903443533184,AX2291,"575001 (Mangaluru (Dakshina Kannada), Karnataka)",2025-11-02T19:35:51,web,red,{nsq_status_fail}
236b0b6c-532a-4b64-a44f-6daccf7f5913,85045a031f8bd8a4b0ec1f268ae3326c,8903443533184,AX2291,"422001 (Nashik, Maharashtra)",2026-03-11T17:44:55,web,red,{nsq_status_fail}
103377c6-aadf-4a04-86fe-70d91dd5c61c,fc591a653a4fe9c18a15b473992a14ea,8903443533184,AX2291,"360001 (Rajkot, Gujarat)",2025-09-15T07:12:05,whatsapp,red,{nsq_status_fail}
09dbb0ac-1cd2-44e1-a4b0-74536f669969,d19cef2573e1ab44b992d9bf933fb8e8,8903443533184,AX2291,"700001 (Kolkata, West Bengal)",2025-10-06T18:00:31,whatsapp,red,{nsq_status_fail}
f8f0a20d-601e-420b-8cd2-f967ba8ce667,f826f7f2a8559a61c31187e56bc2360f,8903443533184,AX2291,"560034 (Bengaluru Urban, Karnataka)",2026-08-05T17:10:37,web,red,{nsq_status_fail}
b2da6791-7194-4437-9d73-03dc91daed35,3bebbeff59f2e6ecb773dc07a5e862d2,8903443533184,AX2291,"590001 (Belagavi, Karnataka)",2025-10-08T19:35:08,whatsapp,red,{nsq_status_fail}
816cf470-1e09-45a6-a3c4-5b6e42138b44,6694de937a0ee80066250417cab2dfaa,8903443533184,AX2291,"560034 (Bengaluru Urban, Karnataka)",2025-08-18T13:01:08,whatsapp,red,{nsq_status_fail}
8dde0ac8-29b5-4deb-8c09-21c864ade7d4,b49c69531a89ac3453290aaff39dccc0,8903443533184,AX2291,"641001 (Coimbatore, Tamil Nadu)",2026-06-11T19:40:45,whatsapp,red,{nsq_status_fail}
4a135ea8-881f-41a3-a667-585a8e823c51,354a15a8fd33b1f04bbcf1426276ecd8,8903443533184,AX2291,"700001 (Kolkata, West Bengal)",2025-07-03T20:45:48,whatsapp,red,{nsq_status_fail}
eb9439e0-8e94-4b52-ac02-9a65459bdec6,e88a43daa278a53520c7fcabdcda407b,8903443533184,AX2291,"143001 (Amritsar, Punjab)",2026-07-20T21:52:42,whatsapp,red,{nsq_status_fail}
604cbc68-817c-4f3c-b968-92fcec069776,7e14a9c7773c4900d7af3b142760e121,8903443533184,AX2291,"395001 (Surat, Gujarat)",2025-05-13T09:22:29,web,red,{nsq_status_fail}
04b1dc8c-4c33-4d50-84fd-ebaa9780140f,7e63d74ac6eab3804af5aaf9d44c5f50,8903443533184,AX2291,"302001 (Jaipur, Rajasthan)",2025-07-03T12:48:02,whatsapp,red,{nsq_status_fail}
9aad96e2-528b-44b0-b3f7-0992663534ea,825f48ca03a7c3b0290fbadd4fccd915,8903443533184,AX2291,"452001 (Indore, Madhya Pradesh)",2026-09-15T11:52:02,whatsapp,red,{nsq_status_fail}
70c030ef-792f-4556-94cd-c2c8c1af5eed,6f2548b0246edd55418c9dac768bc63e,8903443533184,AX2291,"380001 (Ahmedabad, Gujarat)",2025-06-24T16:45:40,whatsapp,red,{nsq_status_fail}
7b6c89ae-443a-45f8-bfd2-53642407a335,f142addbc12bdb617ea9f0f6df24eaf8,8903443533184,AX2291,"208001 (Kanpur Nagar, Uttar Pradesh)",2026-04-26T02:19:32,whatsapp,red,{nsq_status_fail}
5c954b24-1b27-4991-a921-ef86d3938824,0ece885e39997ab283994164ccf59b29,8903443533184,AX2291,"395001 (Surat, Gujarat)",2025-05-17T10:08:00,whatsapp,red,{nsq_status_fail}
e462edd6-ca3c-45b1-bab6-f32d2dcf311c,506339bb280406cf73f86b44171cc25b,8903443533184,AX2291,"700001 (Kolkata, West Bengal)",2026-06-10T14:07:10,web,red,{nsq_status_fail}
29e17bd5-035c-40e3-97fa-e64634ad76bb,1fb99a8f420fe4fd0e6e262e37462772,8903443533184,AX2291,"575001 (Mangaluru (Dakshina Kannada), Karnataka)",2025-12-09T12:49:12,web,red,{nsq_status_fail}
91b0798f-e82f-4d71-9bb7-7b5607d8f25d,84d090d707a013e0f59970e432a184bf,8903443533184,AX2291,"620001 (Tiruchirappalli, Tamil Nadu)",2025-05-17T17:29:08,whatsapp,red,{nsq_status_fail}
a8e61374-75ed-4c41-87b0-aa03ed2a5e32,940bedc3e143fafacf20061122e8b681,8903443533184,AX2291,"400601 (Thane, Maharashtra)",2026-04-20T19:36:37,web,red,{nsq_status_fail}
e40baa1f-f5c2-4ea0-8424-c89ade972b7f,d3c951e1b39a01dcee96fe582db548b2,8903443533184,AX2291,"462001 (Bhopal, Madhya Pradesh)",2025-05-22T10:17:19,whatsapp,red,{nsq_status_fail}
6dcb1e95-8e8b-4022-9672-199b4e724aa8,f1345a7d9b129e34a236d4517538b42a,8903443533184,AX2291,"208001 (Kanpur Nagar, Uttar Pradesh)",2026-01-14T18:37:50,whatsapp,red,{nsq_status_fail}
1d8d411f-ac37-4082-ab21-1f281bec026e,fa86a00609bf0464592d156de089cfd0,8903443533184,AX2291,"440001 (Nagpur, Maharashtra)",2026-06-09T18:46:27,whatsapp,red,{nsq_status_fail}
7a50424b-777e-4525-8989-566306bd9b4a,525a2a25b7ddfa20a41db526a84a41bd,8903443533184,AX2291,"411001 (Pune, Maharashtra)",2025-09-05T08:36:06,whatsapp,red,{nsq_status_fail}
ade66686-b89c-4183-877a-2866833b38eb,22ec7ecc5bd1d06e4971bfdee4eceb29,8903443533184,AX2291,"580001 (Dharwad, Karnataka)",2026-07-03T23:08:27,web,red,{nsq_status_fail}
3440c545-0405-417c-87d2-fe0970f90d43,763d410448b5d7190411afdb7a29737f,8903443533184,AX2291,"500001 (Hyderabad, Telangana)",2026-02-19T12:00:24,whatsapp,red,{nsq_status_fail}
08afd14c-0821-4aed-a7a4-2e485133f8c8,57345767449e773ec4e985c5c42f641f,8903443533184,AX2291,"143001 (Amritsar, Punjab)",2026-07-08T08:22:06,whatsapp,red,{nsq_status_fail}
9f2e5a06-a27a-48a6-a864-6404c8775348,a621ecf3c9cd07dacd04cb8a432e0b02,8903443533184,AX2291,"390001 (Vadodara, Gujarat)",2026-03-15T18:00:21,web,red,{nsq_status_fail}
