id,actor,action,target,timestamp
9a3adf91-51e0-4d70-aeb8-98ba3f6634d9,regulator_token::DL-05,report.status_changed,9a4dadfe-a329-447c-a7a2-e722e6877e60,2026-03-08T12:53:13
8947beab-e25e-403b-b95b-199158557f90,regulator_token::MH-02,dispute.status_changed,e442ed74-18b2-41b0-8d1d-e3abe623384c,2026-04-27T12:41:55
13cb9cdc-54b5-4773-b7bf-4e678850e4f2,regulator_token::DL-05,report.status_changed,859e02c5-23cb-4993-8c72-89e54acb303f,2026-07-18T12:12:29
eaf2f01b-765b-456c-85d3-858afccabdfa,regulator_token::system,regulator.login,n/a,2026-05-17T13:02:13
5d833a3d-4494-4af7-961d-a4ab7dcc3b28,regulator_token::system,report.status_changed,5c72fa47-e45f-4d8c-b2cb-96d647fd6195,2026-03-31T21:47:45
a53d0991-000f-4062-a2e4-e883d342eab2,regulator_token::DL-05,regulator.login,n/a,2025-11-22T12:32:44
bb9e4132-d170-4cc1-a5c0-d86fead8313e,regulator_token::DL-05,report.status_changed,4fb52be7-c559-4a8b-95cb-72be6babd7d1,2026-08-04T20:19:33
dcb87fcb-58e5-4229-b978-7d60f13353b0,regulator_token::DL-05,regulator.login,8164fa37-4283-4831-bce3-049b587f394b,2026-03-26T19:44:10
9a6d9d9b-8b15-48d8-b45f-456f4e57a6a7,regulator_token::KL-06,report.status_changed,3f9ec243-d457-453b-bdd0-de919d347fde,2025-12-30T14:24:30
9811edf9-5ff2-40ca-86b7-e3a997dd4d1a,regulator_token::DL-05,regulator.verdict_reviewed,8a706165-004b-494f-9e64-722cbc972120,2026-01-06T16:30:38
622647e9-4079-4ce0-b1c5-1297eea60702,regulator_token::KL-06,report.status_changed,1d2b42ca-69a1-487b-992c-36cf87a1a017,2026-08-08T15:48:34
83e72787-a647-4b64-93ef-0ec1f1d66944,regulator_token::system,regulator.verdict_reviewed,n/a,2026-01-19T15:22:06
fa1bdf9c-1797-4e82-b899-8e23ad6638bc,regulator_token::GJ-04,dispute.status_changed,5468c5d8-4a2f-4902-824f-a29d786ac4ac,2026-07-13T07:16:25
0625c793-f978-43db-9c76-1862ad660e5b,regulator_token::TN-03,dispute.status_changed,98602baf-977e-4659-8dbc-de8c3dc47910,2026-03-25T11:19:31
67efae28-6aa8-4e53-bf86-db00a4919142,regulator_token::KL-06,regulator.verdict_reviewed,f1c75b18-b6df-4cfb-a190-d99d03baef99,2026-05-19T13:37:15
7d7f2131-9519-46a3-bca7-bb47378bef88,regulator_token::MH-02,report.status_changed,91bb226d-848a-4c23-b0a6-f3e50fc6e830,2025-12-02T17:08:48
e5fccde5-f1de-4f71-a89c-c6890ab6f373,regulator_token::GJ-04,report.status_changed,71ad5c7f-c983-423e-9c6a-82572d71fcc4,2026-08-17T03:37:20
2e5eb4dc-d5c3-4acc-b4cb-149ab46c5023,regulator_token::TN-03,dispute.status_changed,11d3ad2c-401a-41f6-aab3-f42854951460,2026-06-17T13:02:11
04849baa-3089-4f9c-872e-1a244bc587f6,regulator_token::KL-06,dispute.status_changed,1c953e45-6b96-45a1-bc7d-6b5191aca028,2026-09-14T09:04:52
0841d399-54cd-43d5-8216-f2e561489b80,regulator_token::TN-03,regulator.login,n/a,2026-06-02T08:11:48
26eee1d6-49f3-4bde-9a70-6fc4ad6d02bb,regulator_token::DL-05,report.status_changed,9bcfd7cc-87d1-4fd2-b5fa-55cee8da6809,2025-12-26T13:19:27
88a163de-483f-41c7-81df-b651ef268e05,regulator_token::TN-03,report.status_changed,c24f04a7-9b57-4fa0-b6da-a760c7c43dc0,2026-05-26T14:54:23
00f81521-f13d-49eb-94b2-e07972ec9fdb,regulator_token::system,regulator.verdict_reviewed,0141b17f-a9e4-4c79-b2ee-01d0af737795,2026-02-08T17:33:34
09b0bb23-35c1-49db-9abb-50513824065f,regulator_token::GJ-04,regulator.login,99a81dac-9d2c-4c6b-8a61-20e519c44840,2026-04-21T19:16:32
053da506-e69e-4835-89c5-05cb3142813b,regulator_token::DL-05,report.status_changed,a31848ee-f8a0-4f3b-86fa-81e393e5ab1d,2026-02-01T11:57:49
16597f72-dc71-4fe3-8a52-b307eeef56e6,regulator_token::DL-05,report.status_changed,aca0a4b4-1907-4d2f-9a9e-98d66f4c5ba0,2026-02-02T09:25:03
209916e8-0cae-4d9b-aab2-fe53609de5ab,regulator_token::KL-06,report.status_changed,5490dc21-27d2-4490-915e-1f27a1275c0b,2026-07-22T11:37:04
